"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4446",2021-01-02,2021-01-01,"2021","11350","서울_노원","은빛1단지","서울특별시 노원구 상계동 1255 은빛1단지",51850,1998,60,9,2852,1
"4447",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",59000,1988,37,9,5262,1
"4448",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",89500,1988,84,5,3516,1
"4449",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공5","서울특별시 노원구 상계동 721 상계주공5",65000,1987,32,2,6703,1
"4450",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공5","서울특별시 노원구 상계동 721 상계주공5",65000,1987,32,5,6703,1
"4451",2021-01-09,2021-01-01,"2021","11350","서울_노원","풍림아파트A","서울특별시 노원구 공릉동 725 풍림아파트A",95000,2001,115,16,2726,1
"4452",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",71500,1988,67,15,3522,1
"4453",2021-01-04,2021-01-01,"2021","11350","서울_노원","한신2차","서울특별시 노원구 상계동 451 한신2차",65500,1988,85,5,2543,1
"4454",2021-01-04,2021-01-01,"2021","11350","서울_노원","보람1단지","서울특별시 노원구 상계동 639 보람1단지",56900,1988,55,15,3414,1
"4455",2021-01-04,2021-01-01,"2021","11350","서울_노원","보람1단지","서울특별시 노원구 상계동 639 보람1단지",50800,1988,44,13,3810,1
"4456",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",53000,1988,37,5,4727,1
"4457",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",71000,1988,79,6,2966,1
"4458",2021-01-04,2021-01-01,"2021","11350","서울_노원","두산","서울특별시 노원구 상계동 1110 두산",36000,1994,42,4,2829,1
"4459",2021-01-04,2021-01-01,"2021","11350","서울_노원","은빛1단지","서울특별시 노원구 상계동 1255 은빛1단지",53000,1998,60,10,2915,1
"4460",2021-01-04,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",59000,1987,41,4,4749,1
"4461",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계대림","서울특별시 노원구 상계동 172 상계대림",70000,1989,85,13,2718,1
"4462",2021-01-05,2021-01-01,"2021","11350","서울_노원","두산","서울특별시 노원구 상계동 1110 두산",48800,1994,59,4,2729,1
"4463",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공10","서울특별시 노원구 상계동 666 상계주공10",52000,1988,50,1,3432,1
"4464",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공12","서울특별시 노원구 상계동 647 상계주공12",67800,1988,67,15,3339,1
"4465",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",52000,1989,50,2,3432,1
"4466",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",99000,1987,84,1,3889,1
"4467",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",55000,1988,41,5,4427,1
"4468",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",55000,1988,41,5,4427,1
